,open,close,low,high,volume,money
2024-04-09,3555.0,3579.0,3536.0,3587.0,28314.0,1008762670.0
2024-04-10,3581.0,3573.0,3562.0,3591.0,19561.0,699608820.0
2024-04-11,3578.0,3600.0,3557.0,3606.0,17996.0,645009700.0
2024-04-12,3601.0,3617.0,3587.0,3625.0,17976.0,648932150.0
2024-04-15,3621.0,3608.0,3579.0,3629.0,29965.0,1079664220.0
2024-04-16,3608.0,3596.0,3583.0,3619.0,26753.0,963470400.0
2024-04-17,3595.0,3667.0,3589.0,3669.0,23751.0,861573150.0
2024-04-18,3667.0,3670.0,3655.0,3690.0,18373.0,674859220.0
2024-04-19,3671.0,3661.0,3652.0,3681.0,12199.0,447274010.0
2024-04-22,3665.0,3663.0,3642.0,3685.0,15844.0,580399490.0
2024-04-23,3663.0,3635.0,3630.0,3676.0,19076.0,697777530.0
2024-04-24,3635.0,3672.0,3627.0,3683.0,22740.0,832391660.0
2024-04-25,3668.0,3667.0,3653.0,3695.0,26503.0,974148490.0
2024-04-26,3669.0,3675.0,3639.0,3681.0,20732.0,759474880.0
2024-04-29,3672.0,3675.0,3648.0,3690.0,19292.0,707449890.0
2024-04-30,3668.0,3670.0,3646.0,3709.0,30568.0,1121429070.0
2024-05-06,3644.0,3733.0,3644.0,3740.0,21051.0,782058780.0
2024-05-07,3740.0,3735.0,3723.0,3745.0,17125.0,639374690.0
2024-05-08,3748.0,3696.0,3691.0,3748.0,33467.0,1244389230.0
2024-05-09,3690.0,3692.0,3684.0,3713.0,17210.0,636264300.0
2024-05-10,3700.0,3682.0,3653.0,3704.0,22947.0,843690590.0
2024-05-13,3683.0,3708.0,3662.0,3715.0,29605.0,1091006750.0
2024-05-14,3716.0,3666.0,3660.0,3716.0,18018.0,663045050.0
2024-05-15,3660.0,3647.0,3635.0,3664.0,21954.0,800610320.0
2024-05-16,3653.0,3726.0,3642.0,3728.0,37415.0,1383604540.0
2024-05-17,3721.0,3740.0,3717.0,3757.0,22471.0,839435260.0
2024-05-20,3734.0,3769.0,3721.0,3783.0,35782.0,1346026960.0
2024-05-21,3763.0,3775.0,3752.0,3788.0,34335.0,1293807720.0
2024-05-22,3777.0,3829.0,3775.0,3845.0,40119.0,1530804870.0
2024-05-23,3824.0,3808.0,3787.0,3842.0,37668.0,1437664380.0
